,uu,x,y
MSappaa,148.9220465,-28.3203675,38.01361985
MSappap,117.7393243,3.8836598,37.27582335
MSappp,165.7999502,35.6830195,38.88448675
MSapppa,110.4592175,-10.1451816,33.66480715
MSapppp,137.0248544,23.2489821,36.90355265
MSp,154.1790133,14.074309,47.01528175
MSpa,162.8054968,-26.0656336,44.79022805
MSpaa,182.6364403,-30.3830698,49.56355005
MSpaaa,261.9404311,-60.7986888,57.05653755
MSpaaaa,395.8907115,-110.4785638,60.61766145
MSpaaaaa,471.6104158,-136.6030416,62.25030395
MSpaaaap,386.8015311,-106.8047093,61.25329355
MSpaaap,302.239429,-73.1789607,62.45314505
MSpaaapa,349.4160959,-91.4793195,63.26136535
MSpaaapp,274.5917152,-62.5154325,61.08600295
MSpaap,175.7409899,-18.5753425,52.76600065
MSpaapa,270.9433881,-61.1691269,60.79768405
MSpaapaa,336.0077855,-86.2239332,63.28285545
MSpaapap,268.8493938,-56.8171022,63.99462245
MSpap,144.4830809,22.9710604,39.84277395
MSpapa,151.8537446,5.8264888,47.98410065
MSpapaa,175.6480256,-17.9559495,52.94873205
MSpapaaa,204.6456588,-36.7095189,53.81195735
MSpapaap,178.5751484,-10.7442484,55.81756735
MSpapap,174.6172873,17.6187713,52.71606085
MSpapapa,171.3950805,-5.4434931,54.28450235
MSpapapp,178.9753195,19.6248737,53.48271875
MSpapp,223.7600742,54.5588572,45.78578335
MSpappa,194.2657806,34.3756973,51.40127615
MSpappp,243.3916746,56.4013835,53.11403705
MSpp,203.2649641,42.3786137,48.89074085
MSppa,229.537994,47.6550783,55.38386675
MSppaa,202.4345984,-15.6644471,62.50394835
MSppaaa,365.0252002,-93.4055798,69.10699195
MSppaaaa,423.1644794,-116.3795074,67.81747465
MSppaap,280.8914006,-57.4313593,68.52647825
MSppap,207.6672281,24.8148889,61.26798505
MSppapa,263.618712,-43.3163787,71.86785995
MSppapaa,336.1553364,-76.7734267,74.53305485
MSppapp,233.311506,-16.0451639,72.51135255
MSppp,299.8521578,83.6204119,46.01682005
MSpppa,216.8672237,39.325878,56.73404355
MSpppaa,217.9236209,-20.2003845,66.36082325
MSpppap,215.6995718,11.4249261,67.70207815
MSpppp,274.782719,66.553878,56.75290545
MSppppa,232.6009797,-1.2321006,74.02893885
MSppppp,246.1745771,28.7676527,72.88813805
P1,367.107676,103.2699474,54.68250065
P2,481.2446771,143.845797,52.66889055
P3,514.9441707,156.6450998,48.26383285
P4,372.112649,111.9273977,38.75540505
