,x,y,u
ABarpppaap,28.9143255,79.42173395,84.66103825
ABarpppap,42.5539717,70.13981395,82.17764543
ABarpppapp,72.7699157,74.43543125,104.2118321
ABarpppp,67.2335013,68.57827505,96.14046307
ABarppppa,68.4310354,72.33977215,99.68773011
ABarppppaa,50.4950672,81.02587005,95.59202985
ABarppppap,85.0466648,81.25417305,117.7207708
ABarppppp,109.2999671,69.82389695,129.7876255
ABarpppppa,112.5803149,75.92025555,135.8762319
ABarpppppp,151.0471927,70.30251075,166.6676688
ABp,8.8412422,66.36580795,67.06649657
ABpl,1.1968107,55.15128295,55.34932795
ABpla,-69.5476707,57.31259295,90.24868123
ABplaa,-94.7666155,58.64413245,111.5631618
ABplaaa,-111.05904,62.07344145,127.3356932
ABplaaaa,-131.8883076,56.66036065,143.6328006
ABplaaaaa,-121.4548103,48.19610275,130.768869
ABplaaaaaa,-123.2779117,46.72979035,131.9510602
ABplaaaaap,-96.6031879,46.49188815,107.343242
ABplaaaap,-92.004235,50.31230455,104.9847077
ABplaaap,-87.4382088,59.55825425,105.9140323
ABplaaapa,-66.3981514,49.33503145,82.87689923
ABplaaapp,-32.5262522,48.30783255,58.43745418
ABplaaappp,-0.3898951,39.12496875,39.45939457
ABplaap,-76.5615482,50.20370065,91.67906222
ABplaapa,-103.6894743,46.31817015,113.6814054
ABplaapaa,-94.8207767,39.48929365,102.8361419
ABplaapaaa,-116.1520965,38.05529645,122.3385037
ABplaapaap,-88.0768155,36.42921775,95.44692593
ABplaapap,-56.8295548,38.97949735,69.09699255
ABplaapapa,-73.2355836,31.31072945,79.80456305
ABplaapapp,-48.758219,33.60012175,59.42335677
ABplaapp,-55.0462423,45.48904515,71.5691791
ABplaappa,-34.3132505,34.96434255,49.22387146
ABplaappp,3.8739589,34.50560575,35.03428198
ABplap,-24.6570607,58.16055215,63.35305026
ABplapa,-50.5207818,63.99517385,81.67170765
ABplapaa,-55.3513733,58.30574935,80.54586093
ABplapaaa,-14.2829614,41.84902775,44.49041895
ABplapaaaa,-5.6738441,40.39888545,41.05541911
ABplapaaap,19.6159481,38.70851765,43.64768504
ABplapaap,22.7088785,42.11850545,48.10218084
ABplapaapa,33.0314079,35.29887265,48.59134787
ABplapap,-13.552947,56.37824715,58.17724964
ABplapapa,51.6451889,41.59245975,66.48575421
ABplapapaa,114.3932707,36.51872995,120.1745461
ABplapapp,91.6559001,40.71457245,100.4011866
ABplapappp,154.4409564,39.88126485,159.5648024
ABplapp,-11.9052277,50.48768815,52.08149894
ABplappa,-8.3526667,44.46565995,45.49279108
ABplappaa,41.3324871,34.72688045,54.18096535
ABplappap,77.1691628,34.49097685,84.65515147
ABplappapa,91.3364997,34.47898715,97.73181463
ABplappp,40.8217113,41.82678995,58.65210717
ABplapppa,95.4839425,34.49353135,101.6186874
ABplapppaa,105.8016886,35.50891005,111.6880443
ABplapppap,124.1982485,38.49353695,130.098638
ABplapppp,120.8964253,35.89304355,126.1864867
ABplappppp,149.2327223,43.77403655,155.5773777
