,uuu,x,y
ABalpappp,18631814.59,-57.159782,42.60514785
ABalpapppa,23620238.54,-62.4625526,43.89827705
ABalpapppp,5369735.835,-30.5376963,42.81197395
ABalpp,29144444.29,-80.2961928,37.93219715
ABalppa,46881330.13,-101.5863253,38.02679955
ABalppaa,85193627.02,-136.4696246,38.15861655
ABalppaaa,84755453.9,-136.5287842,38.04386815
ABalppaaap,68510921.75,-140.2800359,33.28964015
ABalppaap,47743923.56,-116.450516,33.47670455
ABalppaapp,28803069.07,-108.4705332,27.91468115
ABalppap,43648960.38,-103.3990819,36.04917525
ABalppapa,37330141.99,-97.9444766,35.19451095
ABalppapaa,36956832.97,-111.6704941,30.71383165
ABalppapap,23157209.37,-87.3247287,31.09073075
ABalppapp,16296645.65,-65.1206184,34.97483375
ABalppappa,14739827.12,-75.0181892,28.87384905
ABalppappp,5272554.52,-46.9635172,27.58512705
ABalppp,10356828.42,-53.9579939,33.64981335
ABalpppa,42620245.09,-89.3812277,41.20849175
ABalpppaa,63932523.32,-117.3622262,38.43772255
ABalpppaaa,48154817.93,-131.2774197,29.82324555
ABalpppaap,38419803.03,-119.683037,29.21931495
ABalpppap,31373943.34,-90.0973547,35.07499175
ABalpppapa,25913067.01,-107.3227378,26.76040795
ABalpppapp,16766403.84,-87.5120097,26.39838555
ABalpppp,11149124.41,-48.4225932,38.90428165
ABalppppa,31717315.73,-76.6924322,41.43055635
ABalppppaa,41607961.28,-105.1511553,34.60981145
ABalppppap,25060027.29,-84.4635056,33.43849565
ABalppppp,7982280.1,-39.8321061,40.01799035
ABalpppppa,13297359.29,-67.0897815,30.66559445
ABalpppppp,4087349.804,-38.2901337,29.78921675
ABar,65944183.05,-67.5987136,67.77583525
ABara,37094502.57,-55.42652,61.99579415
ABaraa,89978588.74,-90.0234986,59.44820765
ABaraaa,169807766.9,-115.731855,63.52591435
ABaraaaa,204899716.7,-134.4215644,60.07956745
ABaraaaaa,240923551.3,-153.5874485,57.01760435
ABaraaaaaa,226561823.5,-156.2432292,54.35221195
ABaraaaaap,217645796.7,-137.3639895,60.59367735
ABaraaaap,171021792.6,-128.8985549,57.24041085
ABaraaaapa,220061082.5,-145.4596677,57.53791165
ABaraaap,134571968.3,-99.03888,66.08404915
ABaraaapa,182622890.6,-124.7870834,61.09884995
ABaraaapaa,196034875.7,-139.5455205,56.60774235
ABaraaapap,127291253.2,-112.1111188,56.77742055
ABaraaapp,122687780.5,-96.7459434,64.59411535
ABaraaappa,172503440.7,-118.2396335,62.67016955
ABaraaappp,120965610.9,-95.2206289,65.16658755
ABaraap,49758535.69,-72.606065,54.81330125
ABaraapa,103004141.8,-102.0305333,56.12059295
ABaraapaa,123525937.6,-124.8138855,50.23902935
ABaraapaaa,149588052.5,-135.9786231,50.74612425
ABaraapaap,97515495.87,-111.4300258,49.99880785
ABaraapap,68042990.17,-92.7522904,50.17554705
ABaraapapa,61000864.46,-93.309913,47.22427225
ABaraapapp,34666254.29,-68.2686141,48.65835655
ABaraapp,28863385.2,-55.946627,54.17822695
ABaraappa,66803018.89,-83.872049,54.98014175
ABaraappaa,158489013.2,-120.819172,58.78801405
ABaraappap,93338939.18,-94.2894543,57.80872245
ABaraappp,22324182.73,-48.7962026,54.62944925
ABaraapppa,54736093.43,-71.7527257,58.17328105
ABaraapppp,21893106.21,-44.6910013,59.06887105
ABarap,13854002.43,-31.9488964,65.72897085
ABarapa,58564110.26,-61.3710531,70.35213195
ABarapaa,89235634.2,-77.3485659,68.90360665
ABarapaaa,110254722.5,-102.2177223,57.95587465
ABarapaaaa,88928724.68,-96.5462081,55.10752095
ABarapaaap,55320653.74,-76.227671,55.04984045
ABarapaap,61853393.44,-75.8154626,58.52602655
ABarapaapa,83433139.17,-91.4588809,56.34669825
ABarapaapp,44184036.77,-67.089128,55.89920255
ABarapap,19273993,-36.9998855,66.94382635
ABarapapa,33948516.92,-53.9395045,60.94365745
ABarapapaa,39346395.75,-62.0039687,57.07659455
ABarapapap,12012969.42,-35.6836792,54.80000815
ABarapapp,6073553.341,-23.5649237,59.00386365
ABarapappa,21671287.34,-46.7769137,56.14820215
ABarapappp,2570708.799,-16.2046575,55.82280425
ABarapp,1057891.752,-9.3434343,62.10679855
ABarappa,5131012.064,-18.5851951,68.76373485
ABarappaa,42238291.51,-56.1416491,65.31201305
ABarappaaa,49719047.31,-61.4475075,64.74141565
ABarappaap,15810659.3,-35.1346038,63.85060155
ABarappap,6884037.638,-22.5050194,65.77597435
ABarappapa,15596824.15,-32.2141865,69.16652915
ABarappapp,84705.95822,-2.4403538,67.28670305
ABarappp,2378051.722,13.0175108,66.83558675
ABarapppa,41384958.91,-51.872634,69.96938015
ABarapppaa,117764773.7,-88.117003,69.48211775
ABarapppap,60643865.92,-63.7856323,68.88039645
ABarapppp,6348211.432,-19.9581955,71.22451205
ABarappppa,50003091.09,-55.2425398,72.21873095
ABarappppp,15240785.7,-29.3300544,75.09583895
ABarp,8679221.756,-21.784486,76.29887575
ABarpa,57987673.65,-55.9442415,76.79580845
ABarpaa,132304446.5,-85.6103972,75.80289145
ABarpaaa,175009888.8,-102.3295589,72.93823605
ABarpaaaa,165821665.2,-122.0460487,59.52809385
ABarpaaaaa,216183403.9,-136.9522012,60.57134565
ABarpaaaap,126837417.7,-115.6246761,54.95386345
ABarpaaap,103943356.8,-94.0439167,61.16355565
ABarpaaapa,134263987.6,-106.4258348,61.42678265
ABarpaap,69555691.64,-63.0852835,74.58703465
ABarpaapa,55075772.21,-66.2620192,63.18888545
ABarpaapp,4684914.568,-18.8955749,64.62726715
ABarpap,24339644.81,-41.368409,67.28424185
ABarpapa,59294940.28,-60.8846294,71.35529645
ABarpapaa,152569786.5,-97.1043806,71.76629245
ABarpapaaa,226084344,-118.4055587,71.64538435
ABarpapaap,141230130.8,-91.401847,73.35568425
ABarpapap,68003109.12,-64.157346,72.51753915
ABarpapp,3860098.918,-15.6062896,71.02718765
ABarpappa,32626984,-42.3118943,76.16423065
ABarpappp,2055860.729,-10.7254698,75.42330945
ABarpapppp,242544.6462,3.2906219,84.43896985
ABarpp,7337866.177,19.9065054,76.77413485
ABarppa,12160268.47,-25.4741015,77.23208695
ABarppaa,12778239.88,-28.3812251,71.06069385
ABarppaaa,650928.4888,-8.2723149,55.02558205
ABarppaaap,4399807.857,25.6135069,46.20328715
ABarppaap,6664897.617,27.7036411,52.57568655
ABarppaapp,29797728.5,72.5476909,42.45150085
ABarppap,1749953.384,11.5350335,64.70225895
ABarppapa,19343690.87,52.8465975,46.95455235
ABarppapaa,8021759.362,46.1610392,34.61659135
ABarppapap,22940283.46,81.9583528,32.97093265
ABarppapp,62877169.41,97.8467764,45.72198035
ABarppappa,51286074.13,109.7708342,36.80762765
ABarppappp,97107085.87,146.9593386,37.83148035
ABarppp,13689950.41,27.7179171,75.31221305
ABarpppa,8001946.971,22.0362947,72.42430335
ABarpppaa,1500201.064,9.7124345,71.14947425
ABarpppaap,16567414.31,28.9143255,79.42173395
ABarpppap,27987189.77,42.5539717,70.13981395
ABarpppapp,92174976.17,72.7699157,74.43543125
ABarpppp,66787385.69,67.2335013,68.57827505
ABarppppa,76985754.08,68.4310354,72.33977215
ABarppppaa,52589033.35,50.4950672,81.02587005
ABarppppap,150022291.9,85.0466648,81.25417305
ABarppppp,182977673.9,109.2999671,69.82389695
ABarpppppa,229503923,112.5803149,75.92025555
ABarpppppp,354255710.6,151.0471927,70.30251075
ABp,1081596.369,8.8412422,66.36580795
ABpl,13687.11885,1.1968107,55.15128295
ABpla,49913171.46,-69.5476707,57.31259295
ABplaa,97030829.82,-94.7666155,58.64413245
ABplaaa,149303280.8,-111.05904,62.07344145
ABplaaaa,175436975.9,-131.8883076,56.66036065
ABplaaaaa,107647303.6,-121.4548103,48.19610275
ABplaaaaaa,104257684.6,-123.2779117,46.72979035
ABplaaaaap,63370503.54,-96.6031879,46.49188815
ABplaaaap,67315322.54,-92.004235,50.31230455
ABplaaap,85199352.89,-87.4382088,59.55825425
ABplaaapa,33711080.14,-66.3981514,49.33503145
ABplaaapp,7756271.94,-32.5262522,48.30783255
ABplaaappp,731.0606942,-0.3898951,39.12496875
ABplaap,46413332.21,-76.5615482,50.20370065
ABplaapa,72463950.31,-103.6894743,46.31817015
ABplaapaa,44046927.6,-94.8207767,39.48929365
ABplaapaaa,61381033.66,-116.1520965,38.05529645
ABplaapaap,32342439.31,-88.0768155,36.42921775
ABplaapap,15415969.74,-56.8295548,38.97949735
ABplaapapa,16518877.68,-73.2355836,31.31072945
ABplaapapp,8431934.848,-48.758219,33.60012175
ABplaapp,19697851.96,-55.0462423,45.48904515
ABplaappa,4521935.123,-34.3132505,34.96434255
ABplaappp,56135.70771,3.8739589,34.50560575
ABplap,6460847.988,-24.6570607,58.16055215
ABplapa,32838585.68,-50.5207818,63.99517385
ABplapaa,32721216.11,-55.3513733,58.30574935
ABplapaaa,1122424.514,-14.2829614,41.84902775
ABplapaaaa,165060.6067,-5.6738441,40.39888545
ABplapaaap,1811263.188,19.6159481,38.70851765
ABplapaap,2874002.558,22.7088785,42.11850545
ABplapaapa,4270962.061,33.0314079,35.29887265
ABplapap,1834173.823,-13.552947,56.37824715
ABplapapa,14495687.68,51.6451889,41.59245975
ABplapapaa,54825444.06,114.3932707,36.51872995
ABplapapp,43749237.01,91.6559001,40.71457245
ABplapappp,119182553.2,154.4409564,39.88126485
ABplapp,1135001.026,-11.9052277,50.48768815
ABplappa,433360.837,-8.3526667,44.46565995
ABplappaa,6472387.26,41.3324871,34.72688045
ABplappap,22256067.98,77.1691628,34.49097685
ABplappapa,31156423.61,91.3364997,34.47898715
ABplappp,9158858.668,40.8217113,41.82678995
ABplapppa,34078924.06,95.4839425,34.49353135
ABplapppaa,44341436.09,105.8016886,35.50891005
ABplapppap,71805291.69,124.1982485,38.49353695
ABplapppp,59155804.35,120.8964253,35.89304355
ABplappppp,134063695.9,149.2327223,43.77403655
ABplp,81162.50329,4.0314859,39.86921045
ABplpa,754928.7246,-14.3469562,34.16789835
ABplpaa,3354521.461,-29.9673379,34.48197925
ABplpaaa,23017007.34,-85.6963416,31.58546025
ABplpaaaa,26772382.53,-89.9987834,32.43634685
ABplpaaaaa,21857590.68,-87.8475723,30.02592835
ABplpaaaap,9090286.294,-62.5396407,27.19934605
ABplpaaap,9510864.471,-57.9588687,30.02030915
ABplpaaapa,6816477.763,-60.4606931,24.36306665
ABplpaaapp,2753060.124,-39.1247851,23.92659765
ABplpaap,7623076.823,-48.4905423,32.12426285
ABplpaapa,9759140.317,-59.4527361,29.64551495
ABplpaapaa,14457573.01,-79.4947788,26.98572905
ABplpaapap,5508547.527,-55.5136671,23.85303785
ABplpaapp,1321417.666,-21.9143261,29.59490825
ABplpaappa,1789603.906,-32.4189746,23.28114035
ABplpaappp,193406.8238,-11.1047051,22.34364025
ABplpap,1376738.788,21.8111792,30.35090825
ABplpapa,3652071.542,-38.5193099,27.99085755
ABplpapaa,6442626.238,-43.6712853,32.79144525
ABplpapaaa,4622050.737,-37.5559966,32.29707015
ABplpapaap,484437.8041,-12.9056529,30.42734765
ABplpapap,1181822.591,-18.4282654,33.28256195
ABplpapapa,54619.05447,-4.4121779,29.88437225
ABplpapapp,1868381.602,23.1655798,33.29006785
ABplpapp,148961.5468,7.7092581,28.24551935
ABplpappa,27.31241209,0.0825973,35.69761825
ABplpappaa,733707.7535,-12.4027749,38.96437875
ABplpappp,5379586.88,35.5064121,36.85468785
ABplpapppa,7137089.347,36.7847907,40.97484705
ABplpapppp,29274549.98,68.8434051,44.34124005
ABplpp,10729153.48,47.1027271,39.23392345
ABplppa,4074575.885,27.6851091,41.13580775
ABplppaa,863713.7261,-15.9427453,32.88871205
ABplppaaa,468252.243,-12.547147,30.76946965
ABplppaaaa,1567845.927,-22.6374703,31.20677295
ABplppaap,1045219.086,17.3696958,33.20752565
ABplppaapa,531738.4346,14.385846,28.59819895
ABplppaapp,4938506.251,41.1465383,30.47120045
ABplppap,1852737.922,22.398503,34.28570355
ABplppapa,2881013.028,29.3445893,32.63394965
ABplppapaa,237371.136,9.8208034,27.98929765
ABplppapap,3442351.09,38.9826281,26.85230245
ABplppapp,14242097.87,64.1232539,33.20446555
ABplppappa,9420645.011,57.4356018,30.14978415
ABplppappp,22468054.2,84.1934884,31.76356875
ABplppp,21340743.82,73.8109099,35.31094015
ABplpppa,5255847.316,42.7405904,30.26257765
ABplpppaa,9900516.476,55.2496698,32.13100445
ABplpppaaa,12565952.49,63.0833821,31.70354315
ABplpppaap,29106239.37,91.2025531,33.37421935
ABplpppap,27668338.83,89.3333,33.22027545
ABplpppapa,59454927.73,110.8818455,39.23363485
ABplpppp,18738201.03,75.9738777,32.14583545
ABplppppa,13881222.35,59.2776253,35.46076675
ABplppppaa,10637138.83,50.9866309,36.08952465
ABplppppap,28351877.05,77.5597723,38.73284935
ABplppppp,35233123.27,86.7767636,38.59199115
ABplpppppa,52072862.88,90.4478962,45.01241575
ABplpppppp,87410023.32,114.6711761,45.99932035
ABpr,49072239.7,61.5336284,64.22889925
ABpra,40644750.08,50.397393,71.37057915
ABpraa,9219779.255,22.5730097,75.89197535
ABpraaa,5835432.291,-17.0007651,80.16653525
ABpraaaa,47721239.15,-49.7690861,78.31072665
ABpraaaaa,175520887.4,-98.66248,75.75955915
ABpraaaaaa,253944938.2,-111.9017004,80.34487105
ABpraaaaap,205185385.4,-96.6171627,83.64577245
ABpraaaap,97686934.22,-71.0018019,78.53693225
ABpraaaapa,165307365.7,-88.3186582,82.13319245
ABpraaaapp,109249819.3,-68.7798578,85.73815895
ABpraaap,4034592.945,-13.980418,81.05965845
ABpraaapa,118639848.9,-79.7446201,77.06176695
ABpraaapaa,185187449.1,-100.916544,76.07964355
ABpraaapap,134095334.7,-82.1452132,79.53341615
ABpraaapp,32717850.27,-41.5483837,77.67178935
ABpraaappa,80781003.08,-63.6172244,79.70856075
ABpraaappp,29497123.17,-37.4402263,81.84203685
ABpraap,16917053.84,31.4022335,73.89701415
ABpraapa,2659220.14,11.2721139,81.62004705
ABpraapaa,40165646.15,-44.4404007,80.45897145
ABpraapaaa,226537657.7,-108.394328,78.34092755
ABpraapaap,124490875.6,-77.6927248,81.02396115
ABpraapap,1280179.338,-7.9453097,80.34329525
ABpraapapa,76743277.59,-58.7268777,84.16050325
ABpraapapp,25817126.08,-34.2144272,83.78566825
ABpraapp,50404413.45,51.2266357,78.19221425
ABpraappa,2331220.788,10.5733941,81.47086875
ABpraappp,48463227.5,49.6666239,79.07998725
ABprap,134035174.1,87.5161167,74.63566665
ABprapa,74606562.51,62.3721901,78.13085645
ABprapaa,40758116.02,44.6289424,80.70780185
ABprapaaa,16167116.05,28.3668399,79.97060545
ABprapaaaa,2877253.216,12.0922173,79.14220805
ABprapaaap,23668768.68,35.6573415,76.97752365
ABprapaap,79682624.87,64.3439097,78.27073885
ABprapaapa,45893387.59,49.2625999,77.58589835
ABprapap,157596937.7,89.6934538,78.96564795
ABprapapa,203332356,103.5636503,77.68210055
ABprapapaa,260650914.9,124.4832966,73.17177825
ABprapapp,305993182.5,137.9998998,71.51582745
ABprapappp,375246810.8,167.1086841,65.40102415
ABprapp,210397497.6,112.971013,72.43998065
ABprappa,226063049.4,112.4824922,75.41451185
ABprappaa,141936407,86.1144775,78.05411365
ABprappap,250682078.6,120.5074654,74.12637375
ABprappapa,214081346.3,105.1735918,78.48881485
ABprappp,290667342.7,142.1049822,67.68834245
ABprapppa,284894867.6,134.0864101,71.02031805
ABprapppaa,209364371.9,119.4250763,68.35667435
ABprapppap,252105994.6,137.4878774,65.15567415
ABprapppp,305633608.5,151.0397013,65.30320555
ABprappppp,266515256.2,159.1501843,57.87339435
ABprp,89693815.76,95.4460773,55.98197675
ABprpa,67581000.44,76.3515189,60.74628045
ABprpaa,92036747.92,75.3595221,71.82366465
ABprpaaa,8926814.664,22.1372972,76.14628625
ABprpaaaa,42758969.93,-49.0429918,75.22491835
ABprpaaaaa,98666334.05,-75.0838199,74.63855115
ABprpaaaap,46461852.55,-49.267541,78.05710465
ABprpaaap,3944479.661,-14.2436665,78.66800335
ABprpaaapa,36809999.99,-43.3792999,78.90879905
ABprpaaapp,8053682.122,-20.0569533,79.82838485
ABprpaap,67472873.02,60.9745345,76.00482645
ABprpaapa,3389229.346,-13.022298,79.76050835
ABprpaapaa,82290837.47,-63.1605124,81.03173915
ABprpaapap,33139619.68,-38.3300015,84.73444465
ABprpaapp,9419878.607,21.7418327,79.64372555
ABprpaappa,6197002.033,-16.7633843,83.78266715
ABprpaappp,504238.3413,4.7646758,84.08327925
ABprpap,147921598.7,111.604831,61.48339855
ABprpapa,64295658.38,65.3590342,69.21659985
ABprpapaa,144074.5141,3.0522047,70.16248925
ABprpapaaa,4468709.647,-16.966767,70.29380245
ABprpapaap,1186290.886,8.5302716,72.03736215
ABprpapap,8903027.86,24.8551108,67.72955565
ABprpapapa,5699986.872,19.8181295,67.96719225
ABprpapapp,30388172.09,47.0765961,66.06513075
ABprpapp,131200335.1,102.7343102,62.90382095
ABprpappa,13312690.48,32.2265597,63.87693005
ABprpappaa,114978.3576,-3.1585902,60.56752545
ABprpappap,6853712.982,25.8706017,57.09281945
ABprpappp,54014318.67,64.9034999,63.88683865
ABprpapppa,30848780.15,53.2469102,58.85043125
ABprpapppp,69568679.52,85.3790621,55.11636455
ABprpp,214549859.8,137.4811048,60.10992245
ABprppa,325100649,144.1974711,70.54664065
ABprppaa,151876050.8,91.7902252,75.74836725
ABprppaaa,8932545.408,22.504136,74.92906895
ABprppaaaa,2304757.174,-11.5540626,74.13152515
ABprppaap,44329108.11,51.6586226,72.71545705
ABprppaapa,17353704.61,32.7527635,71.75847735
ABprppaapp,53460326.23,59.4008099,69.44620205
ABprppap,231946701.1,121.5759048,70.67594975
ABprppapa,71630905,64.5303979,73.99645935
ABprppapaa,11440421.9,25.4778481,74.90026255
ABprppapap,50203688.41,53.7743719,74.33913955
ABprppapp,149739855.4,95.2772125,72.46106715
ABprppappa,90900117.96,72.902942,73.78400625
ABprppappp,167768688.7,100.4422557,72.75520375
ABprppp,257704906,155.4395137,58.26731125
ABprpppa,303419010.4,146.9085026,66.89590375
ABprpppaa,173387419.7,103.083642,72.06827075
ABprpppaaa,109724018.4,85.1372536,69.41547175
ABprpppaap,184541243.5,114.4593246,66.96079575
ABprpppap,247492392.7,131.6256603,67.43190485
ABprpppapa,201820792.2,127.4207557,62.90249045
ABprpppp,220856175.6,146.8288066,57.10426795
ABprppppa,119571852.1,94.0955158,65.56478095
ABprppppaa,67940769.91,70.0127295,66.42220465
ABprppppap,119315728.3,95.7624605,64.35445485
ABprppppp,154848248.3,116.0438637,60.50009155
ABprpppppa,119740658.2,107.2376067,57.57033695
ABprpppppp,157531621.7,131.3584201,53.90772685
C,141486481.8,107.2848199,62.55244085
Ca,27788230.44,49.816121,59.70154935
Caa,11609908.19,30.0146078,64.04817855
Caaa,14218669.56,35.1469764,60.52942865
Caaaa,78015881.61,95.1750383,52.35926165
Caaap,145758021.8,138.983146,49.00937435
Caap,79785224.11,97.3552955,51.76386775
Caapa,213744395.5,165.2064373,49.92814905
Caapp,181601209.2,163.0702595,46.62401495
Cap,70937037.59,88.0105524,53.99167995
Capa,49811331.53,92.240341,43.16862735
Capaa,41438672.68,81.9302151,44.32858685
Capaaa,14158442.49,54.8550668,38.70045365
Capaap,35813028.82,77.593314,43.51322665
Capap,88546362.91,114.1526055,46.50767175
Capapa,40245019.51,90.4116813,39.58736445
Capapp,68153256.89,107.9130467,43.16129005
Capp,96800966.8,126.4003943,43.91536355
Cappa,83434123.49,123.8363917,41.61487825
Cappaa,43188254.7,91.1748033,40.66614975
Cappap,70733835.79,117.277946,40.45966825
Cappp,134235594.3,142.0654468,46.01192965
Capppa,97974922.06,133.4554369,41.84525855
Capppp,121363761,131.3288232,47.32705975
Cp,190884267.7,120.810888,64.52144055
Cpa,193927478.4,113.7161825,69.09115725
Cpaa,184709105.6,108.9669477,70.36787405
Cpaaa,114160672.1,94.2375877,63.96746815
Cpaap,255541288.6,146.9085816,61.39152735
Cpap,207356969.7,142.4522911,57.03151965
Cpapa,326022608,171.1250902,59.52991085
Cpapp,258225215.7,175.3040258,51.71690165
Cpp,227449250.7,157.5105011,54.02040125
Cppa,282988970.4,165.5141734,57.34223665
Cppaa,97187439.14,94.7523423,58.70028075
Cppaaa,62654903.08,67.391424,66.26709945
Cppaap,85802929.19,87.9599927,59.41429335
Cppap,140483286.6,122.3850518,54.63978945
Cppapa,127441286,98.749715,64.49770855
Cppapp,135760824.5,114.8316561,57.24672795
Cppp,157180059.8,155.014218,45.63018765
Cpppa,225725764.5,141.292106,59.99260655
Cpppaa,139748595.1,96.6217152,69.02780225
Cpppap,208547646.3,127.3511237,63.97715575
Cpppp,201471562.7,150.574139,53.18406795
Cppppa,243358215.2,143.414418,61.36987725
Cppppp,180778361.8,141.30139,53.68486345
D,186661771.5,159.3729049,48.36578785
Da,48870173.54,114.5995426,34.41629535
Daa,18829961.69,62.5625939,39.13226945
Daaa,1381700.481,20.325365,32.62824125
Daap,7929399.76,45.4945022,34.92097035
Dap,65990036.67,108.172577,42.36888865
Dapa,9801881.825,51.448742,34.33246885
Dapp,34232485.75,82.4270533,40.04741675
Dappa,6111405.929,56.8678955,24.52609875
Dappp,25211534.93,104.2562355,27.17206645
Dp,138070746.5,143.7515238,46.11725435
Dpa,78255426.41,84.9055511,58.78225055
Dpaa,11418997.8,24.8154145,76.82764565
Dpap,31353430.65,46.1499669,68.45358595
Dpp,134848208.7,122.7859164,53.35794545
Dppa,54797940.02,55.6465195,75.05319315
Dppp,112001829.1,86.8688419,68.73431195
Dpppa,65795432.86,54.7036941,83.65776985
Dpppp,209191579,101.2461272,80.59697515
E,38492750.34,85.2339657,41.06783795
Ea,10218049.08,44.1120604,40.88384305
Eal,1263711.009,14.6400601,43.32175965
Eala,7385201.422,-30.4705115,50.31836155
Ealaa,12509319.49,-38.8863846,51.31500065
Ealap,927489.0166,10.4184477,52.15265655
Ealp,2297944.397,18.4457412,46.36590175
Ealpp,11227697.22,38.885612,48.61625165
Ear,7122216.433,25.8830251,58.17248465
Eara,4467996.322,-18.8000424,63.43407895
Earaa,12727503.48,-32.9474271,61.09070965
Earap,1790018.644,12.1694214,62.02744765
Earp,10445785.9,29.5919079,61.62013665
Earpp,24432044.19,47.947974,58.16138035
EMS,7314007.793,38.4723228,39.66015115
Ep,74964610.47,107.3271885,45.51383755
Epl,35748698.61,72.7568026,46.36407255
Epla,26304416.64,56.3259655,51.37250655
Eplaa,18660188.14,46.3258113,52.60899905
Eplap,58372098.78,84.2257028,51.17797225
Eplp,90758672.41,107.5814922,49.96105115
Eplpa,103784853.3,108.473119,52.98707225
Eplpp,135733506.1,128.0271831,51.34124635
Epr,98173343.45,97.2321835,57.49258235
Epra,54538470.15,66.0695612,63.06307115
Epraa,23064252.92,42.1569732,64.27252145
Eprap,78350473.44,82.4698767,60.55507285
Eprp,146394692,116.1398063,58.77689385
