Cell ID,x,y,z
131,0.869037289,0.627212418,0
132,0.950390546,0.579344314,0
133,0.585125041,0.764122927,0
134,0.922067743,0.922929096,0
135,0.967492297,0.978980281,0
136,0.769672531,0.962382076,0
137,0.980292252,0.849623155,0
138,0.97270277,0.694417775,0
139,0.780887851,0.552531674,0
140,0.968172048,0.591932124,0
141,0.545277964,0.77723954,0
142,0.899060437,0.92640826,0
143,0.544042758,0.979503022,0
144,0.88896912,0.964581213,0
145,0.914216056,0.981151752,0
146,0.94280251,0.949057442,0
147,0.795224611,0.819255688,0
148,0.921209322,0.659337795,0
149,0.961635406,0.54455466,0
150,0.976140786,0.656180126,0
151,0.558484957,0.847603066,0
152,0.721718239,0.946290475,0
153,0.566389129,0.981316368,0
154,0.583337014,0.974568994,0
155,0.860294377,0.921359922,0
156,0.574317521,0.770761045,0
157,0.548480001,0.578876326,0
158,0.977728905,0.566225639,0
159,0.796232623,0.730278888,0
160,0.919553765,0.928317023,0
161,0.70403216,0.979642664,0
162,0.750855999,0.972048879,0
163,0.905700022,0.876033352,0
164,0.833670133,0.718069862,0
165,0.914925128,0.555374822,0
166,0.749200724,0.618758151,0
167,0.971757445,0.834459549,0
168,0.872506599,0.963772937,0
169,0.970607663,0.976640566,0
170,0.545218436,0.892723704,0
171,0.906350006,0.738083719,0
172,0.565481204,0.557976988,0
173,0.687972794,0.566549685,0
174,0.881713296,0.698418311,0
175,0.977259808,0.871780106,0
176,0.858988957,0.962500807,0
177,0.773699751,0.981220845,0
179,0.787841293,0.854565372,0
180,0.968694718,0.698387104,0
181,0.729291613,0.545848877,0
182,0.974520204,0.670938895,0
183,0.955704281,0.872076396,0
184,0.98044233,0.965411902,0
185,0.967036829,0.981363624,0
186,0.891438869,0.953378665,0
187,0.980820831,0.855163074,0
188,0.873413312,0.665399219,0
189,0.591119408,0.549055185,0
190,0.55714122,0.613129016,0
191,0.697906477,0.839752907,0
192,0.675749731,0.933782902,0
193,0.885787562,0.975382798,0
194,0.62974312,0.972241182,0
195,0.755468569,0.883431583,0
196,0.879517459,0.743083599,0
197,0.869040239,0.566592162,0
198,0.868719824,0.601897018,0
199,0.75816489,0.813837066,0
200,0.936789173,0.941828752,0
201,0.599619304,0.981457756,0
202,0.547280305,0.962587305,0
203,0.826741294,0.815832902,0
204,0.914984948,0.612940432,0
205,0.900116472,0.593727262,0
206,0.668518068,0.838628989,0
207,0.554280081,0.974451746,0
208,0.751792412,0.977461185,0
209,0.624479395,0.933981038,0
210,0.669421359,0.784016837,0
211,0.954981964,0.612830795,0
212,0.810770818,0.54489545,0
213,0.552265083,0.703504439,0
214,0.962065051,0.886838472,0
215,0.850661417,0.962859481,0
216,0.980191091,0.979799914,0
217,0.892271296,0.918477908,0
218,0.575348125,0.688942623,0
219,0.966411356,0.544533041,0
220,0.978741486,0.691856091,0
221,0.9013701,0.936502291,0
222,0.552373802,0.981545912,0
223,0.665296812,0.949761419,0
224,0.981248588,0.812553562,0
225,0.835061631,0.587503731,0
226,0.981414387,0.728465235,0
227,0.760605678,0.547105477,0
228,0.63946995,0.718865918,0
229,0.862802877,0.913736205,0
230,0.927111641,0.977609455,0
231,0.957286653,0.87400185,0
232,0.893513684,0.692807272,0
233,0.694861956,0.546359848,0
234,0.690283921,0.767196744,0
235,0.887147496,0.980524574,0
