Cell ID,x,y,z
159,0.737382549,0.951846153,1.013784649
160,0.70791714,0.916869735,1.014768819
161,0.622622037,0.901421995,1.015593687
162,0.676573265,0.827367302,1.016326363
163,0.665885105,0.889727164,1.017223118
164,0.678586199,0.816872463,1.017900741
165,0.652289713,0.790564793,1.018675329
166,0.642967464,0.839140477,1.01950376
167,0.648937954,0.915285424,1.020366998
168,0.679425908,0.838514797,1.021291053
169,0.623740986,0.922257213,1.022293695
170,0.615765035,0.874653683,1.023203328
171,0.669725398,0.798256893,1.023880957
172,0.645289771,0.826395354,1.024686301
173,0.560045947,0.962967458,1.02524207
174,0.629461933,0.75807636,1.025829682
175,0.682226493,0.837274817,1.026532775
176,0.608973763,0.863082066,1.02723767
177,0.628341423,0.812676948,1.027985356
179,0.634856916,0.859899412,1.0293134
180,0.623120274,0.742339816,1.029922624
181,0.665406235,0.841654985,1.030707642
182,0.588011353,0.799232915,1.031575035
183,0.627602308,0.769137335,1.032360941
184,0.639380313,0.776434873,1.033090118
185,0.557646535,0.800523132,1.033753196
186,0.662033487,0.793678393,1.034420993
187,0.694513068,0.884717819,1.035062312
188,0.611820548,0.820667004,1.035775976
189,0.68686364,0.832731011,1.036370166
190,0.653089727,0.919011937,1.037042762
191,0.619816196,0.841516138,1.037884077
192,0.658872315,0.746209749,1.03839935
193,0.682575196,0.926359081,1.038941466
194,0.674650488,0.83405157,1.039751133
195,0.636191603,0.892981537,1.040523044
196,0.578250262,0.769926098,1.041081311
197,0.648300327,0.824059286,1.041778285
198,0.660373356,0.863136817,1.042533611
199,0.620471214,0.79737401,1.043296719
200,0.674010664,0.766816323,1.043965281
201,0.643667379,0.888325711,1.044725465
202,0.690262789,0.840297208,1.04537562
203,0.607187779,0.753798772,1.046249663
204,0.668489894,0.856615089,1.0469594
205,0.634492216,0.879373806,1.047880629
206,0.678174101,0.796938561,1.048752309
207,0.663153503,0.833539166,1.049731178
208,0.6487392,0.862574411,1.050385275
209,0.666805985,0.839712886,1.050952604
210,0.69364418,0.804617723,1.051637002
211,0.599604034,0.800751367,1.052214177
